index,Research Method,Continent,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Type of interaction,Type of effect description,Ecological Level of evidence,Outcome of interaction,Study date,study,publication
Habitat degradation and introduction of exotic plants favor persistence of invasive species and population growth of native polyphagus fruit fly pests in a Northwestern Argentinean mosaic/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Inscets,3,Testing the invasional meltdown hypothesis in invasion biology,A - B,the introduction and spread of exotic plant species favors persistence of exotic pests,Population,Abundance and or Density,2014,Habitat degradation and introduction of exotic plants favor persistence of invasive species and population growth of native polyphagus fruit fly pests in a Northwestern Argentinean mosaic/Contribution 1,Habitat degradation and introduction of exotic plants favor persistence of invasive species and population growth of native polyphagus fruit fly pests in a Northwestern Argentinean mosaic
Effectiveness of zebra mussels to act as shelters from fish predators differs between native and invasive amphipod prey/Contribution 1,Experimental,Europe,Invasional meltdown,Supported,Lab,Freshwater,Crustaceans;Molluscs,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,non-native species act as shelter and therefore increse survival of another nonnative as predation is diminished,Individual,"Survival, Growth and or Reproduction",2014,Effectiveness of zebra mussels to act as shelters from fish predators differs between native and invasive amphipod prey/Contribution 1,Effectiveness of zebra mussels to act as shelters from fish predators differs between native and invasive amphipod prey
Removal of na invasive shrub (Chinese privet: Ligustrum sinense Lour) reduces exotic earthworm abundance and promotes recovery of native North American earthworms/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Earthworms,4,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,several non natives increase in abundance when associated with another non native,Population,Abundance and or Density,2014,Removal of na invasive shrub (Chinese privet: Ligustrum sinense Lour) reduces exotic earthworm abundance and promotes recovery of native North American earthworms/Contribution 1,Removal of na invasive shrub (Chinese privet: Ligustrum sinense Lour) reduces exotic earthworm abundance and promotes recovery of native North American earthworms
"Biotic resistance and invasional meltdown: consequences of acquired interspecific interactions for na invasive orchid, Spathoglottis plicata in Puerto Rico/Contribution 1",Experimental & Observational,South America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Inscets,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,ants negatively affect a herbivore and so plants increase reproduction,Individual,"Survival, Growth and or Reproduction",2014,"Biotic resistance and invasional meltdown: consequences of acquired interspecific interactions for na invasive orchid, Spathoglottis plicata in Puerto Rico/Contribution 1","Biotic resistance and invasional meltdown: consequences of acquired interspecific interactions for na invasive orchid, Spathoglottis plicata in Puerto Rico"
Invasive species contribute to biotic resistence: negative effect of caprellid amphipods on na invasive tunicate/Contribution 1,Experimental & Observational,North America,Invasional meltdown,Questioned,Field,Marine,Crustaceans;tunicate,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native affecting anothers abundance,Population,Abundance and or Density,2014,Invasive species contribute to biotic resistence: negative effect of caprellid amphipods on na invasive tunicate/Contribution 1,Invasive species contribute to biotic resistence: negative effect of caprellid amphipods on na invasive tunicate
Predation and functional responses of Carcinus maenas and Cancer magister in the presence of the introduced Cephalaspidean Philine orientalis/Contribution 1,Experimental & Observational,North America,Invasional meltdown,Questioned,Lab & Field,Marine,Crustaceans;Molluscs,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native reduced the impact of other non native upon a native prey,Individual,Impact,2014,Predation and functional responses of Carcinus maenas and Cancer magister in the presence of the introduced Cephalaspidean Philine orientalis/Contribution 1,Predation and functional responses of Carcinus maenas and Cancer magister in the presence of the introduced Cephalaspidean Philine orientalis
Over-invasion by functionally equivalent invasive species/Contribution 1,Observational,Oceania,Invasional meltdown,Questioned,Field,Terrestrial,Mammals,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,Species replacement trough competition,Population,Abundance and or Density,2014,Over-invasion by functionally equivalent invasive species/Contribution 1,Over-invasion by functionally equivalent invasive species
"Can differential predation of native and alien corixids explain the success of Trichocorixa verticalis verticalis (Hemiptera, Corixidae) in the Iberian Peninsula?/Contribution 1",Experimental,Europe,Invasional meltdown,Questioned,Lab,Freshwater,Insects;Fishes,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,one non native as important predator of another non native in the new environment,Individual,"Survival, Growth and or Reproduction",2014,"Can differential predation of native and alien corixids explain the success of Trichocorixa verticalis verticalis (Hemiptera, Corixidae) in the Iberian Peninsula?/Contribution 1","Can differential predation of native and alien corixids explain the success of Trichocorixa verticalis verticalis (Hemiptera, Corixidae) in the Iberian Peninsula?"
"Replacement of nonnative rainbow trout by nonnative brown trout in the Chitose River system, Hokkaido, northern Japan/Contribution 1",Observational,Asia,Invasional meltdown,Questioned,Field,Freshwater,Fishes,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,competition,Population,Abundance and or Density,2014,"Replacement of nonnative rainbow trout by nonnative brown trout in the Chitose River system, Hokkaido, northern Japan/Contribution 1","Replacement of nonnative rainbow trout by nonnative brown trout in the Chitose River system, Hokkaido, northern Japan"
"Structural, compositional and trait differences between native- and non-native-dominated grassland patches/Contribution 1",Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants,1,Testing the invasional meltdown hypothesis in invasion biology,A - B,higher non native spp richness in non native habitat,Community,Richness,2014,"Structural, compositional and trait differences between native- and non-native-dominated grassland patches/Contribution 1","Structural, compositional and trait differences between native- and non-native-dominated grassland patches"
Niche differentiation among invasive crayfish and their impacts on ecosystem structure and functioning/Contribution 1,Experimental & Observational,Europe,Invasional meltdown,Supported,Lab & Field,Freshwater,Crustaceans,4,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,impact comparison and synergy between invasive species with no direct interaction registered between them,Population/Community/Ecosystem,"Impact on population, community and ecosystem",2014,Niche differentiation among invasive crayfish and their impacts on ecosystem structure and functioning/Contribution 1,Niche differentiation among invasive crayfish and their impacts on ecosystem structure and functioning
Context- and density-dependent effects of introduced oysters on biodiversity/Contribution 1,Experimental,Europe,Invasional meltdown,Supported,Field,Marine,Molluscs,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,habitat provision,Population,Abundance and or Density,2014,Context- and density-dependent effects of introduced oysters on biodiversity/Contribution 1,Context- and density-dependent effects of introduced oysters on biodiversity
Effects of invasive cordgrass on presence of marsh grassbird in na area where it is not native/Contribution 1,Observational,Asia,Invasional meltdown,Supported,Field,Terrestrial,Plants;Birds,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,habitat and food provision ,Individual/Population,"Resource/ Survival, Growth and or Reproduction/ Abundance and or Density",2014,Effects of invasive cordgrass on presence of marsh grassbird in na area where it is not native/Contribution 1,Effects of invasive cordgrass on presence of marsh grassbird in na area where it is not native
Two co-occorring invasive woody shrubs alter soil properies and promote subdominant invasive species/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,Increased non native spp richness and soil properties alteration,Community/Ecosystem,Richness/ Impact on ecosystem,2014,Two co-occorring invasive woody shrubs alter soil properies and promote subdominant invasive species/Contribution 1,Two co-occorring invasive woody shrubs alter soil properies and promote subdominant invasive species
Experimental evidence for indirect facilitation among invasive plants/Contribution 1,Experimental,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native reduced the biomass of resident species facilitating the growth of another non native,Individual/Population,"Survival, Growth and or Reproduction/ Abundance and or Density",2014,Experimental evidence for indirect facilitation among invasive plants/Contribution 1,Experimental evidence for indirect facilitation among invasive plants
Responses to invasion and invader removal differ between native and exotic plant groups in a coastal dune/Contribution 1,Experimental & Observational,North America,Invasional meltdown,Undecided,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,one non native positively affect the cover and density of some non native but negatively affect germination and growth of others,Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density",2013,Responses to invasion and invader removal differ between native and exotic plant groups in a coastal dune/Contribution 1,Responses to invasion and invader removal differ between native and exotic plant groups in a coastal dune
Linking the pattern to the mechanism: how na introduced mammal facilitates plant invasions/Contribution 1,Experimental,South America,Invasional meltdown,Supported,Lab & Enclosure,Terrestrial,Mammals,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,"the presence of one non native promotes higher biomass, abundance and growth of another",Individual/Population,"Survival, Growth and or Reproduction/Abundance or Density",2013,Linking the pattern to the mechanism: how na introduced mammal facilitates plant invasions/Contribution 1,Linking the pattern to the mechanism: how na introduced mammal facilitates plant invasions
"Examination of the effects of largemouth bass (Micropterus salmoides) and bluegill (Lepomis marochirus) on the ecosystem attributes of lake Kawahara-oike, Nagasaki Japan/Contribution 1",Observational,Asia,Invasional meltdown,Supported,Field,Freshwater,Fishes,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native preys upon other non natives competitor,Individual,Resource,2013,"Examination of the effects of largemouth bass (Micropterus salmoides) and bluegill (Lepomis marochirus) on the ecosystem attributes of lake Kawahara-oike, Nagasaki Japan/Contribution 1","Examination of the effects of largemouth bass (Micropterus salmoides) and bluegill (Lepomis marochirus) on the ecosystem attributes of lake Kawahara-oike, Nagasaki Japan"
Invasive parasites in multiple invasive hosts: the arrival of a new host revives a stalled prior parasite invasion/Contribution 1,Observational,Oceania,Invasional meltdown,Supported,Field,Terrestrial,Crustaceans;Amphibians,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,the arrival of one non native causes the dispersal of one previously restricted non native,Individual,Dispersal,2013,Invasive parasites in multiple invasive hosts: the arrival of a new host revives a stalled prior parasite invasion/Contribution 1,Invasive parasites in multiple invasive hosts: the arrival of a new host revives a stalled prior parasite invasion
Assessing the potential to restore historic grazing ecosystems with tortoise ecological replacements/Contribution 1,Experimental & Observational,Africa,Invasional meltdown,Questioned,Field & Enclosure,Terrestrial,Reptiles,2,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,Non native herbivore negatively affected several non native plants,Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density",2013,Assessing the potential to restore historic grazing ecosystems with tortoise ecological replacements/Contribution 1,Assessing the potential to restore historic grazing ecosystems with tortoise ecological replacements
Anthropogenic subsidies mitigate environmental variability for insular rodents/Contribution 1,Observational,Europe,Invasional meltdown,Supported,Field,Terrestrial,Plants;Mammals,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,non native as resource for another,Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density",2013,Anthropogenic subsidies mitigate environmental variability for insular rodents/Contribution 1,Anthropogenic subsidies mitigate environmental variability for insular rodents
Exotic mammals disperse exotic fungi that promote invasion by exotic trees/Contribution 1,Experimental,South America,Invasional meltdown,Supported,Lab,Terrestrial,Plants;Mammals;Fungi,6,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,one non native dispersing na important simbiont that providing the mutualism necessary for another invasion,Individual,Dispersal,2013,Exotic mammals disperse exotic fungi that promote invasion by exotic trees/Contribution 1,Exotic mammals disperse exotic fungi that promote invasion by exotic trees
Feeding ecology and ecological impact of na alien 'warm-water' omnivore in cold lakes/Contribution 1,Experimental & Observational,Europe,Invasional meltdown,Supported,Lab & Enclosure,Freshwater,Plants;Crustaceans;Molluscs,3,Testing the invasional meltdown hypothesis in invasion biology,A = B,non native species as the main food item and at the same time the prey increases in biomass when associated with its non native predator,Individual/Population,Resource/ Abundance and or Density,2013,Feeding ecology and ecological impact of na alien 'warm-water' omnivore in cold lakes/Contribution 1,Feeding ecology and ecological impact of na alien 'warm-water' omnivore in cold lakes
"Strategies of the invasive macrophyte Ludwigia grandiflora in its introduced range: Competition, facilitation or coexistence with native and exotic species?/Contribution 1",Experimental,Europe,Invasional meltdown,Supported,Lab,Freshwater,Plants,3,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native stimulating the growth of other two non natives,Individual,"Survival, Growth and or Reproduction",2013,"Strategies of the invasive macrophyte Ludwigia grandiflora in its introduced range: Competition, facilitation or coexistence with native and exotic species?/Contribution 1","Strategies of the invasive macrophyte Ludwigia grandiflora in its introduced range: Competition, facilitation or coexistence with native and exotic species?"
Do exotic pine plantations favour the spread of invasive herbivorous mammals in Patagonia?/Contribution 1,Observational,South America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Mammals,4,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,non native abunce is higher in non native habitat than native habitat,Population,Abundance and or Density,2013,Do exotic pine plantations favour the spread of invasive herbivorous mammals in Patagonia?/Contribution 1,Do exotic pine plantations favour the spread of invasive herbivorous mammals in Patagonia?
Reciprocally beneficial interactions between introduced plants and ants are induced by the presence of a third introduced species/Contribution 1,Experimental,North America,Invasional meltdown,Undecided,Field,Terrestrial,Plants;Inscets,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,one non native protect another from a herbivore and in turn gets more foos by the plant,Individual/Population,Resource/ Abundance and or Density,2013,Reciprocally beneficial interactions between introduced plants and ants are induced by the presence of a third introduced species/Contribution 1,Reciprocally beneficial interactions between introduced plants and ants are induced by the presence of a third introduced species
Propagule pressure and climate contribute to the displacement of Linepithema humile by Pachycondyla chinensis/Contribution 3,Experimental & Observational,North America,Invasional meltdown,Questioned,Lab & Field,Terrestrial,Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,one non native ant displacing another in invaded sites,Individual/Population,"Survival, Growth and or Reproduction/ Abundance and or Density",2013,Propagule pressure and climate contribute to the displacement of Linepithema humile by Pachycondyla chinensis/Contribution 3,Propagule pressure and climate contribute to the displacement of Linepithema humile by Pachycondyla chinensis
Influence of two exotic earthworm species with different foraging strategies on abundance and composition of boreal microarthropods/Contribution 1,Experimental,North America,Invasional meltdown,Supported,Lab,Terrestrial,Earthworms,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,Impact on spp abundance and composition,Population/Community,Impact on population and community,2013,Influence of two exotic earthworm species with different foraging strategies on abundance and composition of boreal microarthropods/Contribution 1,Influence of two exotic earthworm species with different foraging strategies on abundance and composition of boreal microarthropods
Role of top-down and botton-up forces on the invasibility of intertidal macroalgal assemblages/Contribution 1,Experimental,Europe,Invasional meltdown,Undecided,Lab,Marine,Algae,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,different responses of non native to other non native biomass,Population,Abundance and or Density,2013,Role of top-down and botton-up forces on the invasibility of intertidal macroalgal assemblages/Contribution 1,Role of top-down and botton-up forces on the invasibility of intertidal macroalgal assemblages
Invasive interactions: can Argentine ants indirectly increase the reproductive output of a weed?/Contribution 1,Experimental & Observational,Oceania,Invasional meltdown,Supported,Field,Terrestrial,Plants;Inscets,4,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,network of beneficial interactions with multiple positive outcomes for non natives,Individual/Population/Community,"Survival, Growth and or Reproduction/ Abundance and or Density/Diversity/Impact on community",2013,Invasive interactions: can Argentine ants indirectly increase the reproductive output of a weed?/Contribution 1,Invasive interactions: can Argentine ants indirectly increase the reproductive output of a weed?
The impact of zebra mussel (Dreissena polymorpha) periostracum and biofilm cues on habitat selection by a Ponto-Caspian amphipod Dikerogammarus haemobaphes/Contribution 1,Experimental,Europe,Invasional meltdown,Supported,Lab,Freshwater,Crustaceans;Molluscs,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native prefers non native habitat,Individual,Resource,2013,The impact of zebra mussel (Dreissena polymorpha) periostracum and biofilm cues on habitat selection by a Ponto-Caspian amphipod Dikerogammarus haemobaphes/Contribution 1,The impact of zebra mussel (Dreissena polymorpha) periostracum and biofilm cues on habitat selection by a Ponto-Caspian amphipod Dikerogammarus haemobaphes
The complex interaction network among multiple invasive bird species in a cavity-nesting community/Contribution 1,Observational,Asia,Invasional meltdown,Undecided,Field,Terrestrial,Birds,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,"competition for breeding sites, breeding season overlap, provision of suityable habitat for nests",Individual,"Survival, Growth and or Reproduction",2013,The complex interaction network among multiple invasive bird species in a cavity-nesting community/Contribution 1,The complex interaction network among multiple invasive bird species in a cavity-nesting community
Comparative feeding ecology of invasive Ponto-Caspian gobies/Contribution 1,Observational,Europe,Invasional meltdown,Supported,Field,Freshwater,Crustaceans;Fishes;Molluscs,6,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,non native preys as the most important food items,Individual,Resource,2013,Comparative feeding ecology of invasive Ponto-Caspian gobies/Contribution 1,Comparative feeding ecology of invasive Ponto-Caspian gobies
A fast-track for invasion: invasive plants promote the performance of na invasive herbivore/Contribution 1,Experimental,North America,Invasional meltdown,Supported,Lab,Terrestrial,Plants;Inscets,7,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,greater survival and weight of a herbivore in a invasive plant compared to native,Individual,"Survival, Growth and or Reproduction",2013,A fast-track for invasion: invasive plants promote the performance of na invasive herbivore/Contribution 1,A fast-track for invasion: invasive plants promote the performance of na invasive herbivore
Cane toads on cowpats: commercial livestock production facilitates toad invasion in tropical Australia/Contribution 1,Experimental & Observational,Oceania,Invasional meltdown,Supported,Field & Enclosure,Terrestrial,Amphibians;Mammals,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,"indirectly providing resource, and directly providing suitable habitat",Individual,Resource,2012,Cane toads on cowpats: commercial livestock production facilitates toad invasion in tropical Australia/Contribution 1,Cane toads on cowpats: commercial livestock production facilitates toad invasion in tropical Australia
An invasive tree alters the structure of seed dispersal networks between birds and plants in French Polynesia/Contribution 1,Experimental & Observational,Oceania,Invasional meltdown,Supported,Field,Terrestrial,Plants,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,food resource ,Individual,Resource/ Dispersal,2012,An invasive tree alters the structure of seed dispersal networks between birds and plants in French Polynesia/Contribution 1,An invasive tree alters the structure of seed dispersal networks between birds and plants in French Polynesia
Facilitation and competition among invasive plants: A field experiment with alligatorweed and water hyacinth/Contribution 1,Experimental,North America,Invasional meltdown,Undecided,Field,Freshwater,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,one non native decreased cover of another but enhanced growth,Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density",2012,Facilitation and competition among invasive plants: A field experiment with alligatorweed and water hyacinth/Contribution 1,Facilitation and competition among invasive plants: A field experiment with alligatorweed and water hyacinth
Herbivory by na introduced Asian weevil negatively affects population growth of na invasive Brazilian shrub in Florida/Contribution 1,Experimental,North America,Invasional meltdown,Questioned,Field,Terrestrial,Plants;Inscets,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,"Herbivory affecting growth, survival and population size",Individual/Population,"Survival, Growth and or Reproduction",2012,Herbivory by na introduced Asian weevil negatively affects population growth of na invasive Brazilian shrub in Florida/Contribution 1,Herbivory by na introduced Asian weevil negatively affects population growth of na invasive Brazilian shrub in Florida
Does mutualism drive the invasion of two alien species? The case of Solenopsis invicta and Phenacoccus solenopsis/Contribution 1,Experimental,Asia,Invasional meltdown,Supported,Lab & Field,Terrestrial,Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,resource providing and protection,Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density/Dispersal of individuals",2012,Does mutualism drive the invasion of two alien species? The case of Solenopsis invicta and Phenacoccus solenopsis/Contribution 1,Does mutualism drive the invasion of two alien species? The case of Solenopsis invicta and Phenacoccus solenopsis
Invasional interference due to similar inter- and intraspecific competition between invaders may affect management/Contribution 1,Experimental,North America,Invasional meltdown,Questioned,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,competition between two non natives is similar to intraspecific competition,Individual,"Survival, Growth and or Reproduction",2012,Invasional interference due to similar inter- and intraspecific competition between invaders may affect management/Contribution 1,Invasional interference due to similar inter- and intraspecific competition between invaders may affect management
Multiple predator effects and native prey responses to two non-native Everglades cichlids/Contribution 1,Experimental,North America,Invasional meltdown,Questioned,Lab & Enclosure,Freshwater,Fishes,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,non native predator interaction impact on prey (no additive effect),Individual,Impact on native species,2012,Multiple predator effects and native prey responses to two non-native Everglades cichlids/Contribution 1,Multiple predator effects and native prey responses to two non-native Everglades cichlids
"Evaluating the effect of American mink, na alien invasive species, on the abundance of a native community. Is coexistence possible?/Contribution 1",Observational,Europe,Invasional meltdown,Questioned,Field,Freshwater,Fishes;Mammals,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native drecreased in density due to other non native,Population,Abundance and or Density,2012,"Evaluating the effect of American mink, na alien invasive species, on the abundance of a native community. Is coexistence possible?/Contribution 1","Evaluating the effect of American mink, na alien invasive species, on the abundance of a native community. Is coexistence possible?"
"A nematode, fungus, and aphid interact via shared host plant. Implications for soybean management/Contribution 1",Experimental,North America,Invasional meltdown,Undecided,Field,Terrestrial,Plants;Inscets,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,soybean pest interaction and their outcome to each other with multiple pest interaction,Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density",2012,"A nematode, fungus, and aphid interact via shared host plant. Implications for soybean management/Contribution 1","A nematode, fungus, and aphid interact via shared host plant. Implications for soybean management"
Ecology of brushtail possums in New Zealand dryland ecosystem/Contribution 1,Observational,Oceania,Invasional meltdown,Supported,Field,Terrestrial,Plants;Mammals,3,Testing the invasional meltdown hypothesis in invasion biology,A - B,non native spp as important food source,Individual,Resource,2012,Ecology of brushtail possums in New Zealand dryland ecosystem/Contribution 1,Ecology of brushtail possums in New Zealand dryland ecosystem
Invasional meltdown. Pollination of the invasive liana Passiflora tripartita var mollissima (Passifloracea) in New Zealand/Contribution 1,Experimental,Oceania,Invasional meltdown,Supported,Field & Enclosure,Terrestrial,Plants;Inscets,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,reproduction facilitation by new association with exotic bees,Individual,"Survival, Growth and or Reproduction",2012,Invasional meltdown. Pollination of the invasive liana Passiflora tripartita var mollissima (Passifloracea) in New Zealand/Contribution 1,Invasional meltdown. Pollination of the invasive liana Passiflora tripartita var mollissima (Passifloracea) in New Zealand
Long-term coexistence of non-indigenous species in aquaculture facilities/Contribution 1,Experimental,Africa,Invasional meltdown,Questioned,Field,Marine,Molluscs;Ascidian,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,competitive exclusion,Population,Abundance and or Density,2011,Long-term coexistence of non-indigenous species in aquaculture facilities/Contribution 1,Long-term coexistence of non-indigenous species in aquaculture facilities
Reduced fecundity by one invader in the presence of another. A potential mechanism leading to species replacement/Contribution 1,Experimental & Observational,North America,Invasional meltdown,Questioned,Field & Enclosure,Marine,Crustaceans,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native negatively affects reproductive output of the other and co-occurance leads to abundancy and density decline',Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density",2011,Reduced fecundity by one invader in the presence of another. A potential mechanism leading to species replacement/Contribution 1,Reduced fecundity by one invader in the presence of another. A potential mechanism leading to species replacement
Invasional meltdown. Invader-invader mutualism facilitates a secondary invasion/Contribution 1,Experimental,Oceania,Invasional meltdown,Supported,Field & Enclosure,Terrestrial,Insects;Molluscs,4,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,high densities of a invasive promoted by mutualism with another invader permited invasion by a third non native,Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density/Dispersal of population",2011,Invasional meltdown. Invader-invader mutualism facilitates a secondary invasion/Contribution 1,Invasional meltdown. Invader-invader mutualism facilitates a secondary invasion
Long-term impacts of invasive grasses and subsequent fire in seasonally dry Hawaiian woodlands/Contribution 1,Observational,North America,Invasional meltdown,Undecided,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,exotics species richness after burns induced by other exotic,Population/Community,Richness/ Abundance and or Density,2011,Long-term impacts of invasive grasses and subsequent fire in seasonally dry Hawaiian woodlands/Contribution 1,Long-term impacts of invasive grasses and subsequent fire in seasonally dry Hawaiian woodlands
Hawaiian ant-flower networks. Nectar-thieving ants prefer undefended native over introduced plants with floral defense/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Inscets,29,Testing the invasional meltdown hypothesis in invasion biology,A - B,"Non native ants afect native plants reproduction, releasing non native plants from native competitors",Individual,Impact,2011,Hawaiian ant-flower networks. Nectar-thieving ants prefer undefended native over introduced plants with floral defense/Contribution 1,Hawaiian ant-flower networks. Nectar-thieving ants prefer undefended native over introduced plants with floral defense
Identification of alien predators that should not be removed for controlling invasive crayfish threatening endangered odonates/Contribution 1,Observational,Asia,Invasional meltdown,Supported,Field,Freshwater,Fishes;Amphibians;Reptiles,4,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,Stable Isotope analysis (non native spp as important food source for other non native),Individual,Resource,2011,Identification of alien predators that should not be removed for controlling invasive crayfish threatening endangered odonates/Contribution 1,Identification of alien predators that should not be removed for controlling invasive crayfish threatening endangered odonates
Integration of invasive Opuntia spp. by native and alien seed dispersers in the Mediterranean area and the Canary Islands/Contribution 1,Experimental & Observational,Europe,Invasional meltdown,Supported,Lab & Field,Terrestrial,Plants;Mammals;Reptiles,5,Testing the invasional meltdown hypothesis in invasion biology,A = B,non native species as dispersers of alien seeds,Individual,Dispersal,2011,Integration of invasive Opuntia spp. by native and alien seed dispersers in the Mediterranean area and the Canary Islands/Contribution 1,Integration of invasive Opuntia spp. by native and alien seed dispersers in the Mediterranean area and the Canary Islands
Are introduced rats (Rattus rattus) both seed predators and dispersers in Hawaii?/Contribution 1,Experimental,North America,Invasional meltdown,Undecided,Lab & Field,Terrestrial,Plants,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,non native species acting as disperser and predator of seeds,Individual,Resource/Dispersal,2011,Are introduced rats (Rattus rattus) both seed predators and dispersers in Hawaii?/Contribution 1,Are introduced rats (Rattus rattus) both seed predators and dispersers in Hawaii?
Seed dispersal of alien and native plants by vertebrate herbivores/Contribution 1,Experimental,Oceania,Invasional meltdown,Questioned,Lab,Terrestrial,Mammals,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,a non native tended to disperse more native species than non natives,Individual,Dispersal,2011,Seed dispersal of alien and native plants by vertebrate herbivores/Contribution 1,Seed dispersal of alien and native plants by vertebrate herbivores
Alien pollinator promotes invasive mutualism in na insular pollination system/Contribution 1,Observational,Asia,Invasional meltdown,Supported,Field,Terrestrial,Insects,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,native pollination network reduced and non native plant species increased reproduction by non native polinators,Individual/Community,"Survival, Growth and or Reproduction/Impact on community",2011,Alien pollinator promotes invasive mutualism in na insular pollination system/Contribution 1,Alien pollinator promotes invasive mutualism in na insular pollination system
Native herbivores and plant facilitation mediate the performance and distribution of na exotic grass/Contribution 1,Experimental,North America,Invasional meltdown,Supported,Field & Enclosure,Terrestrial,Plants,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,"a native plant benefited (height, shoot production, fecundity and aboveground biomass) by associations with other non native plants that prevented herbivory ",Individual,"Survival, Growth and or Reproduction",2011,Native herbivores and plant facilitation mediate the performance and distribution of na exotic grass/Contribution 1,Native herbivores and plant facilitation mediate the performance and distribution of na exotic grass
"Plant-based food resources, trophic interactions among alien species, and the abundance of na invasive ant/Contribution 1",Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Inscets,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,non native ant benefited and increased abundance with associating non native honeydew producing mealybug which was associated with other non native plant abundance,Population,Abundance and or Density,2011,"Plant-based food resources, trophic interactions among alien species, and the abundance of na invasive ant/Contribution 1","Plant-based food resources, trophic interactions among alien species, and the abundance of na invasive ant"
