index,Research Method,Continent,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Measure of resistance/susceptibility,Measure of native biodiversity,Study date,same as,study,publication
Diversity and biomass of native macrophytes are negatively related to dominance of an invasive Poaceae in Brazilian sub-tropical streams/Contribution 1,Observational or correlational,South-America,Biotic resistence,Undecided,Field,Freshwater,Plants,,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Shannon index,2013,,Diversity and biomass of native macrophytes are negatively related to dominance of an invasive Poaceae in Brazilian sub-tropical streams/Contribution 1,Diversity and biomass of native macrophytes are negatively related to dominance of an invasive Poaceae in Brazilian sub-tropical streams
Invasibility and compositional stability in a grassland community: relationships to diversity and extrinsic factors/Contribution 1,Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,9,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2002,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Invasibility and compositional stability in a grassland community: relationships to diversity and extrinsic factors/Contribution 1,Invasibility and compositional stability in a grassland community: relationships to diversity and extrinsic factors
Biological invasions of Southern Ocean islands: the Collembola of Marion Island as a test of generalities/Contribution 1,Observational or correlational,Antarctica,Biotic resistence,Questioned,Field,Terrestrial,Other invertebrates,5,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2001,,Biological invasions of Southern Ocean islands: the Collembola of Marion Island as a test of generalities/Contribution 1,Biological invasions of Southern Ocean islands: the Collembola of Marion Island as a test of generalities
Biological invasions of Southern Ocean islands: the Collembola of Marion Island as a test of generalities/Contribution 2,Observational or correlational,Antarctica,Biotic resistence,Questioned,Field,Terrestrial,Other invertebrates,5,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Proxy,2001,,Biological invasions of Southern Ocean islands: the Collembola of Marion Island as a test of generalities/Contribution 2,Biological invasions of Southern Ocean islands: the Collembola of Marion Island as a test of generalities
Plant community diversity and composition provide little resistance to Juniperus encroachment/Contribution 1,Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Survival of exotic individuals,Number of native species,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Plant community diversity and composition provide little resistance to Juniperus encroachment/Contribution 1,Plant community diversity and composition provide little resistance to Juniperus encroachment
Abiotic constraints eclipse biotic resistance in determining invasibility along experimental vernal pool gradients/Contribution 1,Experimental,North-America,Biotic resistence,Questioned,Lab,Terrestrial,Plants,5,Testing the biotic resistence hypothesis in invasion biology,Growth of exotic individuals,Number of native species,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Abiotic constraints eclipse biotic resistance in determining invasibility along experimental vernal pool gradients/Contribution 1,Abiotic constraints eclipse biotic resistance in determining invasibility along experimental vernal pool gradients
Invasibility and abiotic gradients: the positive correlation between native and exotic plant diversity/Contribution 2,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,12,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2005,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Invasibility and abiotic gradients: the positive correlation between native and exotic plant diversity/Contribution 2,Invasibility and abiotic gradients: the positive correlation between native and exotic plant diversity
Ecological filtering of exotic plants in an Australian sub-alpine environment/Contribution 1,Observational or correlational,Oceania,Biotic resistence,Questioned,Field,Terrestrial,Plants,12,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2004,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Ecological filtering of exotic plants in an Australian sub-alpine environment/Contribution 1,Ecological filtering of exotic plants in an Australian sub-alpine environment
Species diversity defends against the invasion of Nile tilapia (Oreochromis niloticus)/Contribution 1,Experimental,Asia,Biotic resistence,Supported,Lab/Field,Freshwater,Fishes,,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Number of native species,2014,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48']",Species diversity defends against the invasion of Nile tilapia (Oreochromis niloticus)/Contribution 1,Species diversity defends against the invasion of Nile tilapia (Oreochromis niloticus)
Distributions of exotic plants in eastern Asia and North America/Contribution 1,Observational or correlational,"['Asia', 'North-America']",Biotic resistence,Questioned,Field,Terrestrial,Plants,1567,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2006,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Distributions of exotic plants in eastern Asia and North America/Contribution 1,Distributions of exotic plants in eastern Asia and North America
Native and introduced fish species richness in Chilean Patagonian lakes: inferences on invasion mechanisms using salmonid-free lakes/Contribution 1,Observational or correlational,South-America,Biotic resistence,Questioned,Field,Freshwater,Fishes,20,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2012,,Native and introduced fish species richness in Chilean Patagonian lakes: inferences on invasion mechanisms using salmonid-free lakes/Contribution 1,Native and introduced fish species richness in Chilean Patagonian lakes: inferences on invasion mechanisms using salmonid-free lakes
Native Predators Do Not Influence Invasion Success of Pacific Lionfish on Caribbean Reefs/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Marine,Fishes,,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Proxy,2013,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Native Predators Do Not Influence Invasion Success of Pacific Lionfish on Caribbean Reefs/Contribution 1,Native Predators Do Not Influence Invasion Success of Pacific Lionfish on Caribbean Reefs
"The introduction of Littorina littorea to British Columbia, Canada: potential impacts and the importance of biotic resistance by native predators/Contribution 1",Experimental,North-America,Biotic resistence,Supported,Lab/Field,Marine,Molluscs;Other invertebrates,5,Testing the biotic resistence hypothesis in invasion biology,Survival of exotic individuals,Proxy,2013,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","The introduction of Littorina littorea to British Columbia, Canada: potential impacts and the importance of biotic resistance by native predators/Contribution 1","The introduction of Littorina littorea to British Columbia, Canada: potential impacts and the importance of biotic resistance by native predators"
Predicting the landscape-scale distribution of alien plants and their threat to plant diversity/Contribution 1,Observational or correlational,Africa,Biotic resistence,Questioned,Field,Terrestrial,Plants,6,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,1999,,Predicting the landscape-scale distribution of alien plants and their threat to plant diversity/Contribution 1,Predicting the landscape-scale distribution of alien plants and their threat to plant diversity
Yellow crazy ant (Anoplolepis gracilipes) invasions within undisturbed mainland Australian habitats: no support for biotic resistance hypothesis/Contribution 1,Observational or correlational,Oceania,Biotic resistence,Questioned,Field,Terrestrial,Insects,66,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native functional groups,2010,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Yellow crazy ant (Anoplolepis gracilipes) invasions within undisturbed mainland Australian habitats: no support for biotic resistance hypothesis/Contribution 1,Yellow crazy ant (Anoplolepis gracilipes) invasions within undisturbed mainland Australian habitats: no support for biotic resistance hypothesis
Factors governing rate of invasion: a natural experiment using Argentine ants/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Insects,1,Testing the biotic resistence hypothesis in invasion biology,Spread of exotic species,Number of native species,1998,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Factors governing rate of invasion: a natural experiment using Argentine ants/Contribution 1,Factors governing rate of invasion: a natural experiment using Argentine ants
Functional composition controls invasion success in a California serpentine grassland/Contribution 3,Experimental,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,9,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native functional groups,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Functional composition controls invasion success in a California serpentine grassland/Contribution 3,Functional composition controls invasion success in a California serpentine grassland
Forest invasibility in communities in southeastern New York/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,17,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2004,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Forest invasibility in communities in southeastern New York/Contribution 1,Forest invasibility in communities in southeastern New York
Forest invasibility in communities in southeastern New York/Contribution 2,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,17,Testing the biotic resistence hypothesis in invasion biology,"Diversity of exotic species, Shannon index",Shannon index,2004,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Forest invasibility in communities in southeastern New York/Contribution 2,Forest invasibility in communities in southeastern New York
"Tree species diversity reduces the invasibility of maritime pine stands by the bast scale, Matsucoccus feytaudi (Homoptera: Margarodidae)/Contribution 1",Observational or correlational,Europe,Biotic resistence,Supported,Field,Terrestrial,Insects,1,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native species,2006,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']","Tree species diversity reduces the invasibility of maritime pine stands by the bast scale, Matsucoccus feytaudi (Homoptera: Margarodidae)/Contribution 1","Tree species diversity reduces the invasibility of maritime pine stands by the bast scale, Matsucoccus feytaudi (Homoptera: Margarodidae)"
Linking nitrogen partitioning and species abundance to invasion resistance in the Great Basin/Contribution 1,Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native functional groups,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Linking nitrogen partitioning and species abundance to invasion resistance in the Great Basin/Contribution 1,Linking nitrogen partitioning and species abundance to invasion resistance in the Great Basin
Filling in the gaps: modelling native species richness and invasions using spatially incomplete data/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Filling in the gaps: modelling native species richness and invasions using spatially incomplete data/Contribution 1,Filling in the gaps: modelling native species richness and invasions using spatially incomplete data
Do biodiversity and human impact influence the introduction or establishment of alien mammals?/Contribution 2,Observational or correlational,Europe,Biotic resistence,Questioned,Field,Terrestrial,Mammals,88,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2011,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Do biodiversity and human impact influence the introduction or establishment of alien mammals?/Contribution 2,Do biodiversity and human impact influence the introduction or establishment of alien mammals?
Determinants of vertebrate invasion success in Europe and North America/Contribution 3,Observational or correlational,"['Europe', 'North-America']",Biotic resistence,Undecided,Field,Terrestrial and freshwater,Fishes,49,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2006,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Determinants of vertebrate invasion success in Europe and North America/Contribution 3,Determinants of vertebrate invasion success in Europe and North America
Invasion success of vertebrates in Europe and North America/Contribution 3,Observational or correlational,"['Europe', 'North-America']",Biotic resistence,Questioned,Field,Terrestrial and freshwater,Fishes,49,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2005,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Invasion success of vertebrates in Europe and North America/Contribution 3,Invasion success of vertebrates in Europe and North America
The roles of biotic resistance and nitrogen deposition in regulating non-native understory plant diversity/Contribution 1,Experimental,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,32,Testing the biotic resistence hypothesis in invasion biology,Cover of exotic species,Number of native species,2011,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",The roles of biotic resistance and nitrogen deposition in regulating non-native understory plant diversity/Contribution 1,The roles of biotic resistance and nitrogen deposition in regulating non-native understory plant diversity
"Native and introduced gastropods in laurel forests on Tenerife, Canary Islands/Contribution 1",Observational or correlational,Africa,Biotic resistence,Questioned,Field,Terrestrial,Molluscs,7,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2009,,"Native and introduced gastropods in laurel forests on Tenerife, Canary Islands/Contribution 1","Native and introduced gastropods in laurel forests on Tenerife, Canary Islands"
Biodiversity as a barrier to ecological invasion/Contribution 1,Experimental,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,13,Testing the biotic resistence hypothesis in invasion biology,Cover of exotic species,Number of native species,2002,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Biodiversity as a barrier to ecological invasion/Contribution 1,Biodiversity as a barrier to ecological invasion
Opposite relationships between invasibility and native species richness at patch versus landscape scales/Contribution 1,Observational or correlational,North-America,Biotic resistence,Undecided,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Cover of exotic species,Number of native species,2005,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Opposite relationships between invasibility and native species richness at patch versus landscape scales/Contribution 1,Opposite relationships between invasibility and native species richness at patch versus landscape scales
Resource availability and plant diversity explain patterns of invasion of an exotic grass/Contribution 1,Experimental,North-America,Biotic resistence,Supported,Enclosure,Terrestrial,Plants,67,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Proxy,2013,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Resource availability and plant diversity explain patterns of invasion of an exotic grass/Contribution 1,Resource availability and plant diversity explain patterns of invasion of an exotic grass
Using prairie restoration to curtail invasion of Canada thistle: the importance of limiting similarity and seed mix richness/Contribution 2,Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,34,Testing the biotic resistence hypothesis in invasion biology,Cover of exotic species,Number of native species,2013,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Using prairie restoration to curtail invasion of Canada thistle: the importance of limiting similarity and seed mix richness/Contribution 2,Using prairie restoration to curtail invasion of Canada thistle: the importance of limiting similarity and seed mix richness
Invasibility of plankton food webs along a trophic state gradient/Contribution 1,Experimental,North-America,Biotic resistence,Questioned,Lab,Freshwater,Crustaceans,1,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2003,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Invasibility of plankton food webs along a trophic state gradient/Contribution 1,Invasibility of plankton food webs along a trophic state gradient
Fish invasions in the world's river systems: When natural processes are blurred by human activities/Contribution 1,Observational or correlational,All continents except Antarctica,Biotic resistence,Questioned,Field,Freshwater,Fishes,,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2008,,Fish invasions in the world's river systems: When natural processes are blurred by human activities/Contribution 1,Fish invasions in the world's river systems: When natural processes are blurred by human activities
Species diversity and biological invasions: relating local process to community pattern/Contribution 1,Experimental,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,3,Testing the biotic resistence hypothesis in invasion biology,Recruitment of exotic individuals,Number of native species,2000,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Species diversity and biological invasions: relating local process to community pattern/Contribution 1,Species diversity and biological invasions: relating local process to community pattern
Species diversity and biological invasions: relating local process to community pattern/Contribution 2,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,3,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2000,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Species diversity and biological invasions: relating local process to community pattern/Contribution 2,Species diversity and biological invasions: relating local process to community pattern
"Local interactions, dispersal, and native and exotic plant diversity along a California stream/Contribution 1",Experimental,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,3,Testing the biotic resistence hypothesis in invasion biology,Recruitment of exotic individuals,Number of native species,2001,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Local interactions, dispersal, and native and exotic plant diversity along a California stream/Contribution 1","Local interactions, dispersal, and native and exotic plant diversity along a California stream"
Why islands are easier to invade: human influences on bullfrog invasion in the Zhoushan archipelago and neighboring mainland China/Contribution 2,Observational or correlational,Asia,Biotic resistence,Questioned,Field,Terrestrial and freshwater,Amphibians,1,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2006,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48']",Why islands are easier to invade: human influences on bullfrog invasion in the Zhoushan archipelago and neighboring mainland China/Contribution 2,Why islands are easier to invade: human influences on bullfrog invasion in the Zhoushan archipelago and neighboring mainland China
Negative native-exotic diversity relationship in oak savannas explained by human influence and climate/Contribution 1,Observational or correlational,North-America,Biotic resistence,Undecided,Field,Terrestrial,Plants,118,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Negative native-exotic diversity relationship in oak savannas explained by human influence and climate/Contribution 1,Negative native-exotic diversity relationship in oak savannas explained by human influence and climate
"Phalaris arundinacea seedling establishment: effects of canopy complexity in fen, mesocosm, and restoration experiments/Contribution 1",Experimental and observational/correlational,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native species,2002,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Phalaris arundinacea seedling establishment: effects of canopy complexity in fen, mesocosm, and restoration experiments/Contribution 1","Phalaris arundinacea seedling establishment: effects of canopy complexity in fen, mesocosm, and restoration experiments"
Linking invasions and biogeography: Isolation differentially affects exotic and native plant diversity/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,202,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Linking invasions and biogeography: Isolation differentially affects exotic and native plant diversity/Contribution 1,Linking invasions and biogeography: Isolation differentially affects exotic and native plant diversity
Functional group dominance and identity effects influence the magnitude of grassland invasion/Contribution 1,Experimental,South-America,Biotic resistence,Undecided,Field,Terrestrial,Plants,,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Number of native functional groups,2013,,Functional group dominance and identity effects influence the magnitude of grassland invasion/Contribution 1,Functional group dominance and identity effects influence the magnitude of grassland invasion
Effects of a directional abiotic gradient on plant community dynamics and invasion in a coastal dune system/Contribution 1,Experimental and observational/correlational,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,7,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Effects of a directional abiotic gradient on plant community dynamics and invasion in a coastal dune system/Contribution 1,Effects of a directional abiotic gradient on plant community dynamics and invasion in a coastal dune system
Evenness-invasibility relationships differ between two extinction scenarios in tallgrass prairie/Contribution 1,Experimental,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,15,Testing the biotic resistence hypothesis in invasion biology,Spread of exotic species,Number of native species,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Evenness-invasibility relationships differ between two extinction scenarios in tallgrass prairie/Contribution 1,Evenness-invasibility relationships differ between two extinction scenarios in tallgrass prairie
Evenness-invasibility relationships differ between two extinction scenarios in tallgrass prairie/Contribution 2,Experimental,North-America,Biotic resistence,Undecided,Field,Terrestrial,Plants,15,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Native species evenness,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Evenness-invasibility relationships differ between two extinction scenarios in tallgrass prairie/Contribution 2,Evenness-invasibility relationships differ between two extinction scenarios in tallgrass prairie
Scale dependent relationships between native plant diversity and the invasion of croftonweed (Eupatorium adenophorum) in southwest China/Contribution 1,Observational or correlational,Asia,Biotic resistence,Undecided,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Cover of exotic species,Number of native species,2005,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48']",Scale dependent relationships between native plant diversity and the invasion of croftonweed (Eupatorium adenophorum) in southwest China/Contribution 1,Scale dependent relationships between native plant diversity and the invasion of croftonweed (Eupatorium adenophorum) in southwest China
Rare species loss alters ecosystem function - invasion resistance/Contribution 1,Experimental,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native species,2001,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Rare species loss alters ecosystem function - invasion resistance/Contribution 1,Rare species loss alters ecosystem function - invasion resistance
Native plant diversity resists invasion at both low and high resource levels/Contribution 1,Experimental,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native species,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Native plant diversity resists invasion at both low and high resource levels/Contribution 1,Native plant diversity resists invasion at both low and high resource levels
Effects of native species diversity and resource additions on invader impact/Contribution 1,Experimental,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,3,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Number of native species,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Effects of native species diversity and resource additions on invader impact/Contribution 1,Effects of native species diversity and resource additions on invader impact
The distribution and habitat associations of non-native plant species in urban riparian habitats/Contribution 1,Observational or correlational,Europe,Biotic resistence,Questioned,Field,Terrestrial,Plants,30,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2006,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",The distribution and habitat associations of non-native plant species in urban riparian habitats/Contribution 1,The distribution and habitat associations of non-native plant species in urban riparian habitats
Interactive effects of resource enrichment and resident diversity on invasion of native grassland by Lolium arundinaceum/Contribution 1,Experimental,North-America,Biotic resistence,Undecided,Enclosure,Terrestrial,Plants,12,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Proxy,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Interactive effects of resource enrichment and resident diversity on invasion of native grassland by Lolium arundinaceum/Contribution 1,Interactive effects of resource enrichment and resident diversity on invasion of native grassland by Lolium arundinaceum
Species evenness and invasion resistance of experimental grassland communities/Contribution 1,Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,3,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Native species evenness,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Species evenness and invasion resistance of experimental grassland communities/Contribution 1,Species evenness and invasion resistance of experimental grassland communities
"Effects of human population, area, and time on non-native plant and fish diversity in the United States/Contribution 1",Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2001,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Effects of human population, area, and time on non-native plant and fish diversity in the United States/Contribution 1","Effects of human population, area, and time on non-native plant and fish diversity in the United States"
"Effects of human population, area, and time on non-native plant and fish diversity in the United States/Contribution 2",Observational or correlational,North-America,Biotic resistence,Supported,Field,Freshwater,Fishes,,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2001,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Effects of human population, area, and time on non-native plant and fish diversity in the United States/Contribution 2","Effects of human population, area, and time on non-native plant and fish diversity in the United States"
Beyond biodiversity: individualistic controls of invasion in a self-assembled community/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,12,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2004,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Beyond biodiversity: individualistic controls of invasion in a self-assembled community/Contribution 1,Beyond biodiversity: individualistic controls of invasion in a self-assembled community
Native macrophyte density and richness affect the invasiveness of a tropical Poaceae species/Contribution 1,Experimental,South-America,Biotic resistence,Supported,Enclosure,Terrestrial,Plants,6,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Number of native species,2013,,Native macrophyte density and richness affect the invasiveness of a tropical Poaceae species/Contribution 1,Native macrophyte density and richness affect the invasiveness of a tropical Poaceae species
Patterns of invasion of an urban remnant of a species-rich grassland in southeastern Australia by non-native plant species/Contribution 1,Observational or correlational,Oceania,Biotic resistence,Supported,Field,Terrestrial,Plants,42,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,1998,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Patterns of invasion of an urban remnant of a species-rich grassland in southeastern Australia by non-native plant species/Contribution 1,Patterns of invasion of an urban remnant of a species-rich grassland in southeastern Australia by non-native plant species
Plant diversity increases resistance to invasion in the absence of covarying extrinsic factors/Contribution 1,Experimental,North-America,Biotic resistence,Supported,Lab and field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Number of native species,2000,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Plant diversity increases resistance to invasion in the absence of covarying extrinsic factors/Contribution 1,Plant diversity increases resistance to invasion in the absence of covarying extrinsic factors
Weak vs. strong invaders of natural plant communities: Assessing invasibility and impact/Contribution 1,Observational or correlational,North-America,Biotic resistence,Undecided,Field,Terrestrial,Plants,24,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2005,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Weak vs. strong invaders of natural plant communities: Assessing invasibility and impact/Contribution 1,Weak vs. strong invaders of natural plant communities: Assessing invasibility and impact
Native plant diversity increases herbivory to non-natives/Contribution 1,Observational or correlational,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,57,Testing the biotic resistence hypothesis in invasion biology,Proxy,Number of native species,2014,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Native plant diversity increases herbivory to non-natives/Contribution 1,Native plant diversity increases herbivory to non-natives
"Habitat stress, species pool size and biotic resistance influence exotic plant richness in the Flooding Pampa grasslands/Contribution 1",Observational or correlational,South-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,30,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2007,,"Habitat stress, species pool size and biotic resistance influence exotic plant richness in the Flooding Pampa grasslands/Contribution 1","Habitat stress, species pool size and biotic resistance influence exotic plant richness in the Flooding Pampa grasslands"
Effects of Native Herbs and Light on Garlic Mustard (Alliaria petiolata) Invasion/Contribution 1,Experimental,Europe,Biotic resistence,Undecided,Field,Terrestrial,Plants,10,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2014,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Effects of Native Herbs and Light on Garlic Mustard (Alliaria petiolata) Invasion/Contribution 1,Effects of Native Herbs and Light on Garlic Mustard (Alliaria petiolata) Invasion
