index,Research Method,Continent,Measure of invasion success,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Measure of disturbance,Type of disturbance,Direct anthropogenic dist.?,Study date,study,publication
Roadside soils: A corridor for invasion of xeric scrub by nonindigenous plants/Contribution 1,Observational or correlational,North America,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,7,Testing the disturbance hypothesis in invasion biology, modified soils used in constructing roadways and native soil areas,Urbanization,Yes,1997,Roadside soils: A corridor for invasion of xeric scrub by nonindigenous plants/Contribution 1,Roadside soils: A corridor for invasion of xeric scrub by nonindigenous plants
Roadside soils: A corridor for invasion of xeric scrub by nonindigenous plants/Contribution 2,Observational or correlational,North America,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,7,Testing the disturbance hypothesis in invasion biology, modified soils used in constructing roadways and native soil areas,Urbanization,Yes,1997,Roadside soils: A corridor for invasion of xeric scrub by nonindigenous plants/Contribution 2,Roadside soils: A corridor for invasion of xeric scrub by nonindigenous plants
Land use intensification differentially benefits alien over native predators in agricultural landscape mosaics/Contribution 1,Observational or correlational,South America,Abundance/density of exotic species,Disturbance,Undecided ,Field,Terrestrial,Insects,9,Testing the disturbance hypothesis in invasion biology,"human-disturbed habitats - gradient in disturbance intensity -->represented the dominant natural, semi-natural and agricultural habitats 
(calculated disturbance index (number of harvests per year, pesticide application...) ",Economic land use,Yes,2013,Land use intensification differentially benefits alien over native predators in agricultural landscape mosaics/Contribution 1,Land use intensification differentially benefits alien over native predators in agricultural landscape mosaics
Understory response to management treatments in northern Arizona ponderosa pine forests/Contribution 1,Observational or correlational,North America,Number of exotic species,Disturbance,Supported ,Field,Terrestrial,Plants,39,Testing the disturbance hypothesis in invasion biology,"thinned, thinned and prescribed burned, and burned by stand-replacing wildfire -  Supported (fire more than thinning)",Management methods ,Yes,2001,Understory response to management treatments in northern Arizona ponderosa pine forests/Contribution 1,Understory response to management treatments in northern Arizona ponderosa pine forests
Understory response to management treatments in northern Arizona ponderosa pine forests/Contribution 2,Observational or correlational,North America,Abundance/density of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,39,Testing the disturbance hypothesis in invasion biology,"thinned, thinned and prescribed burned, and burned by stand-replacing wildfire -  Supported (fire more than thinning)",Management methods,Yes,2001,Understory response to management treatments in northern Arizona ponderosa pine forests/Contribution 2,Understory response to management treatments in northern Arizona ponderosa pine forests
"Grassland invisibility and diversity: responses to nutrients, seed input, and disturbance/Contribution 1",Experimental,North America,Abundance/density of exotic species,Disturbance,Undecided,Enclosure,Terrestrial,Plants,13,Testing the disturbance hypothesis in invasion biology,reduction of adult plant cover (Supported) + manipulated resource by nutrient addition (Questioned),Economic land use,Yes,2005,"Grassland invisibility and diversity: responses to nutrients, seed input, and disturbance/Contribution 1","Grassland invisibility and diversity: responses to nutrients, seed input, and disturbance"
Disturbance of biological soil crust increases emergence of exotic vascular plants in California sage scrub/Contribution 1,Experimental,North America,Growth/emergence of exotic individuals,Disturbance,Supported,Field,Terrestrial,Plants,6,Testing the disturbance hypothesis in invasion biology,mechanical disturbance of Biological soil crust by repeatedly stepping - disturbed and undisturbed plots ,Others,Yes,2011,Disturbance of biological soil crust increases emergence of exotic vascular plants in California sage scrub/Contribution 1,Disturbance of biological soil crust increases emergence of exotic vascular plants in California sage scrub
Influence of fire and soil nutrients on native and non-native annuals at remnant vegetation edges in the Western Australian wheatbelt/Contribution 1,Experimental,Oceania,Abundance/density of exotic species,Disturbance,Questioned,Enclosure,Terrestrial,Plants,8,Testing the disturbance hypothesis in invasion biology, area burnt 1988,Economic land use,Yes,1992,Influence of fire and soil nutrients on native and non-native annuals at remnant vegetation edges in the Western Australian wheatbelt/Contribution 1,Influence of fire and soil nutrients on native and non-native annuals at remnant vegetation edges in the Western Australian wheatbelt
Disturbance Facilitates Invasion: The Effects Are Stronger Abroad than at Home/Contribution 1,Experimental,North America and South America,Establishment success ,Disturbance,Supported ,Enclosure,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,"clipping to a height of 1 cm, to represent haying + soil turnover - with a shovel to a depth of 0.30 m, to represent plowing + fire - inside a metal frame ",Economic land use ,Yes,2006,Disturbance Facilitates Invasion: The Effects Are Stronger Abroad than at Home/Contribution 1,Disturbance Facilitates Invasion: The Effects Are Stronger Abroad than at Home
Disturbance Facilitates Invasion: The Effects Are Stronger Abroad than at Home/Contribution 2,Experimental,North America and South America,Cover of exotic species,Disturbance,Supported,Enclosure,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,"clipping to a height of 1 cm, to represent haying + soil turnover - with a shovel to a depth of 0.30 m, to represent plowing + fire - inside a metal frame ",Economic land use,Yes,2006,Disturbance Facilitates Invasion: The Effects Are Stronger Abroad than at Home/Contribution 2,Disturbance Facilitates Invasion: The Effects Are Stronger Abroad than at Home
Effect of disturbance and nutrient addition on native and introduced annuals in plant communities in the Western Australian wheatbelt/Contribution 1,Experimental,Oceania,Establishment success,Disturbance,Undecided,Field,Terrestrial,Plants,2,Testing the disturbance hypothesis in invasion biology,soil disturbance with a spade + nutrient addition,Economic land use,Yes,1988,Effect of disturbance and nutrient addition on native and introduced annuals in plant communities in the Western Australian wheatbelt/Contribution 1,Effect of disturbance and nutrient addition on native and introduced annuals in plant communities in the Western Australian wheatbelt
Effect of disturbance and nutrient addition on native and introduced annuals in plant communities in the Western Australian wheatbelt/Contribution 2,Experimental,Oceania,Biomass of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,2,Testing the disturbance hypothesis in invasion biology,soil disturbance + nutrient addition,Economic land use,Yes,1988,Effect of disturbance and nutrient addition on native and introduced annuals in plant communities in the Western Australian wheatbelt/Contribution 2,Effect of disturbance and nutrient addition on native and introduced annuals in plant communities in the Western Australian wheatbelt
TEMPERATURE EFFECTS ON SEEDLING EMERGENCE FROM BOREAL WETLAND SOILS - IMPLICATIONS FOR CLIMATE CHANGE/Contribution 1,Experimental,North America,Growth/emergence of exotic individuals,Disturbance,Supported,Lab,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,"Temperature treatments simulated global warming effects (high temperature, dry and wetlands, low temperature)",Global warming ,No,1992,TEMPERATURE EFFECTS ON SEEDLING EMERGENCE FROM BOREAL WETLAND SOILS - IMPLICATIONS FOR CLIMATE CHANGE/Contribution 1,TEMPERATURE EFFECTS ON SEEDLING EMERGENCE FROM BOREAL WETLAND SOILS - IMPLICATIONS FOR CLIMATE CHANGE
Removal of nonnative vines and post-hurricane recruitment in tropical hardwood forests of Florida/Contribution 1,Observational or correlational,North America,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,13,Testing the disturbance hypothesis in invasion biology,hurricane (242 km/h),Storm,No,2001,Removal of nonnative vines and post-hurricane recruitment in tropical hardwood forests of Florida/Contribution 1,Removal of nonnative vines and post-hurricane recruitment in tropical hardwood forests of Florida
Removal of nonnative vines and post-hurricane recruitment in tropical hardwood forests of Florida/Contribution 2,Observational or correlational,North America,Recruitment of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,13,Testing the disturbance hypothesis in invasion biology,hurricane (242 km/h) - Recruitment of vine seedlings after hurricane,Storm,No,2001,Removal of nonnative vines and post-hurricane recruitment in tropical hardwood forests of Florida/Contribution 2,Removal of nonnative vines and post-hurricane recruitment in tropical hardwood forests of Florida
Alien Grass Invasion and Fire In the Seasonal Submontane Zone of Hawaii/Contribution 1,Observational or correlational,Hawaii North America,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,11,Testing the disturbance hypothesis in invasion biology,burned and unburned sites,Fire,No,1991,Alien Grass Invasion and Fire In the Seasonal Submontane Zone of Hawaii/Contribution 1,Alien Grass Invasion and Fire In the Seasonal Submontane Zone of Hawaii
Effects of an intense prescribed fire on understory vegetation in a mixed conifer forest/Contribution 1,Observational or correlational,North America,Cover of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,4,Testing the disturbance hypothesis in invasion biology,burned area and unburned area -  prescribed fire as a possible method for forest restoration ,Management methods,Yes,2005,Effects of an intense prescribed fire on understory vegetation in a mixed conifer forest/Contribution 1,Effects of an intense prescribed fire on understory vegetation in a mixed conifer forest
Effects of an intense prescribed fire on understory vegetation in a mixed conifer forest/Contribution 2,Observational or correlational,North America,Number of exotic species,Disturbance,Supported ,Field,Terrestrial,Plants,4,Testing the disturbance hypothesis in invasion biology,burned area and unburned area ,Management methods,Yes,2005,Effects of an intense prescribed fire on understory vegetation in a mixed conifer forest/Contribution 2,Effects of an intense prescribed fire on understory vegetation in a mixed conifer forest
Effects of mean intensity and temporal variability of disturbance on the invasion of Caulerpa racemosa var. cylindracea (Caulerpales) in rock pools/Contribution 1,Experimental,Europe,Abundance/density of exotic species,Disturbance,Questioned,Enclosure,Marine,Algae,1,Testing the disturbance hypothesis in invasion biology,Intensity and temporal variability of mechanical disturbance due to the overturning of boulders by waves - Natural disturbances (in the context of climate change),Global warming ,No,2010,Effects of mean intensity and temporal variability of disturbance on the invasion of Caulerpa racemosa var. cylindracea (Caulerpales) in rock pools/Contribution 1,Effects of mean intensity and temporal variability of disturbance on the invasion of Caulerpa racemosa var. cylindracea (Caulerpales) in rock pools
Prescribed fire effects on dalmation toadflax/Contribution 1,Observational or correlational,North America,Biomass of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,burned and not-burned sites - (Prescribed fire - rangeland restoration),Management methods,Yes,2003,Prescribed fire effects on dalmation toadflax/Contribution 1,Prescribed fire effects on dalmation toadflax
Prescribed fire effects on dalmation toadflax/Contribution 2,Observational or correlational,North America,Cover of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,burned and not-burned sites - (Prescribed fire - rangeland restoration),Management methods,Yes,2003,Prescribed fire effects on dalmation toadflax/Contribution 2,Prescribed fire effects on dalmation toadflax
Do biodiversity and human impact influence the introduction or establishment of alien mammals?/Contribution 1,Observational or correlational,Europe,Establishment success,Disturbance,Questioned,Field,Terrestrial,Mammals,246,Testing the disturbance hypothesis in invasion biology,"Human population  density, Road density ",Urbanization,Yes,2011,Do biodiversity and human impact influence the introduction or establishment of alien mammals?/Contribution 1,Do biodiversity and human impact influence the introduction or establishment of alien mammals?
Epifaunal disturbance by periodic low levels of dissolved oxygen: native vs. invasive species response/Contribution 1,Experimental,North America,Cover of exotic species,Disturbance,Supported ,Field,Marine,Other invertebrates,4,Testing the disturbance hypothesis in invasion biology,"low dissolved oxygen (<4 mg l–1) (Hypoxia; Moderately low, normoxia)",Global warming ,No,2005,Epifaunal disturbance by periodic low levels of dissolved oxygen: native vs. invasive species response/Contribution 1,Epifaunal disturbance by periodic low levels of dissolved oxygen: native vs. invasive species response
Dam invaders: impoundments facilitate biological invasions into freshwaters/Contribution 1,Observational or correlational,North America,Establishment success,Disturbance,Supported,Field,Freshwater,"Plants, Crustaceans, Molluscs, Fishes",5,Testing the disturbance hypothesis in invasion biology,"comparison of impoundments and natural lakes (hydrologic connectivity, human accessibility, distance to the nearest Great Lake (as a source population of non-indigenous species)",Others,Yes,2008,Dam invaders: impoundments facilitate biological invasions into freshwaters/Contribution 1,Dam invaders: impoundments facilitate biological invasions into freshwaters
Paving the Way for Invasive Species: Road Type and the Spread of Common Ragweed (Ambrosia artemisiifolia)/Contribution 1,Observational or correlational,North America,Occurrence of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,"different road types (local paved roads, verges of unpaved local roads)",Urbanization,Yes,2011,Paving the Way for Invasive Species: Road Type and the Spread of Common Ragweed (Ambrosia artemisiifolia)/Contribution 1,Paving the Way for Invasive Species: Road Type and the Spread of Common Ragweed (Ambrosia artemisiifolia)
"Human activity facilitates altitudinal expansion of exotic plants along a road in montane grassland, South Africa/Contribution 1",Observational or correlational,Africa,Abundance/density of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,25,Testing the disturbance hypothesis in invasion biology,Presence and absence of roads,Urbanization,Yes,2008,"Human activity facilitates altitudinal expansion of exotic plants along a road in montane grassland, South Africa/Contribution 1","Human activity facilitates altitudinal expansion of exotic plants along a road in montane grassland, South Africa"
Road verges as invasion corridors? A spatial hierarchical test in an arid ecosystem/Contribution 1,Observational or correlational,Africa,Number of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,4,Testing the disturbance hypothesis in invasion biology,"distance from urban areas (questioned), Road surface type (tarred and graveled roads) and distance from road edge (undec.)",Urbanization,Yes,2008,Road verges as invasion corridors? A spatial hierarchical test in an arid ecosystem/Contribution 1,Road verges as invasion corridors? A spatial hierarchical test in an arid ecosystem
Road verges as invasion corridors? A spatial hierarchical test in an arid ecosystem/Contribution 2,Observational or correlational,Africa,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,26,Testing the disturbance hypothesis in invasion biology,"Distance from anthropogenic structures (house density), Road surface type (tarred and graveled roads) and distance from road edge",Urbanization,Yes,2008,Road verges as invasion corridors? A spatial hierarchical test in an arid ecosystem/Contribution 2,Road verges as invasion corridors? A spatial hierarchical test in an arid ecosystem
"The influence of anthropogenic disturbance and environmental suitability on the distribution of the nonindigenous amphipod, Echinogammarus ischnus, at Laurentian Great Lakes coastal margins/Contribution 1",Observational or correlational,North America,Abundance/density of exotic species,Disturbance,Questioned,Field,Freshwater,Crustaceans,1,Testing the disturbance hypothesis in invasion biology,"Our study used the five specific stressor variables: overall nutrient input, nitrogen and phosphorus load transported from the adjacent coastal watershed, agricultural land area, human population density, and overall pollution loading.",Others,Yes,2007,"The influence of anthropogenic disturbance and environmental suitability on the distribution of the nonindigenous amphipod, Echinogammarus ischnus, at Laurentian Great Lakes coastal margins/Contribution 1","The influence of anthropogenic disturbance and environmental suitability on the distribution of the nonindigenous amphipod, Echinogammarus ischnus, at Laurentian Great Lakes coastal margins"
Alien plant dynamics following fire in Mediterranean-climate California shrublands/Contribution 1,Observational or correlational,North America,Cover of exotic species,Disturbance,Supported ,Field,Terrestrial,Plants,75,Testing the disturbance hypothesis in invasion biology,fire severity ,Others,Yes,2005,Alien plant dynamics following fire in Mediterranean-climate California shrublands/Contribution 1,Alien plant dynamics following fire in Mediterranean-climate California shrublands
Alien plant dynamics following fire in Mediterranean-climate California shrublands/Contribution 2,Observational or correlational,North America,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,75,Testing the disturbance hypothesis in invasion biology,fire severity ,Others,Yes,2005,Alien plant dynamics following fire in Mediterranean-climate California shrublands/Contribution 2,Alien plant dynamics following fire in Mediterranean-climate California shrublands
Fire and grazing impacts on plant diversity and alien plant invasions in the southern Sierra Nevada/Contribution 1,Experimental,North America,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,19,Testing the disturbance hypothesis in invasion biology,"Grazing (horses, cattel)",Economic land use ,Yes,2003,Fire and grazing impacts on plant diversity and alien plant invasions in the southern Sierra Nevada/Contribution 1,Fire and grazing impacts on plant diversity and alien plant invasions in the southern Sierra Nevada
Fire and grazing impacts on plant diversity and alien plant invasions in the southern Sierra Nevada/Contribution 2,Experimental,North America,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,19,Testing the disturbance hypothesis in invasion biology,"Grazing (horses, cattel)",Economic land use ,Yes,2003,Fire and grazing impacts on plant diversity and alien plant invasions in the southern Sierra Nevada/Contribution 2,Fire and grazing impacts on plant diversity and alien plant invasions in the southern Sierra Nevada
Fire and grazing impacts on plant diversity and alien plant invasions in the southern Sierra Nevada/Contribution 3,Experimental,North America,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,19,Testing the disturbance hypothesis in invasion biology,high and low severity of fire + burning 1 and 3 year before samling (prescribed fires),Fire,No,2003,Fire and grazing impacts on plant diversity and alien plant invasions in the southern Sierra Nevada/Contribution 3,Fire and grazing impacts on plant diversity and alien plant invasions in the southern Sierra Nevada
"The short-term responses of small mammals to wildfire in semiarid mallee shrubland, Australia/Contribution 1",Observational or correlational,Oceania,Occurrence of exotic species,Disturbance,Supported,Enclosure,Terrestrial,Mammals,1,Testing the disturbance hypothesis in invasion biology, unburnt and burnt sites,Fire,No,2010,"The short-term responses of small mammals to wildfire in semiarid mallee shrubland, Australia/Contribution 1","The short-term responses of small mammals to wildfire in semiarid mallee shrubland, Australia"
Multiple disturbances accelerate invasion of reed canary grass (Phalaris arundinacea L.) in a mesocosm study/Contribution 1,Experimental,North America,Biomass of exotic species,Disturbance,Supported,Enclosure,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,"Nutrient additions: none, low and high -- 27% nitrogen (1.2% ammonical N; 25.8% urea N), 3% available phosphate (P2O5), 4% soluble potash (K2O), 1% sulfur, and 1% iron + three flood regimes (Constant flood, Early season flood, Intermittent flood) + sediment addition - disturbance plus nutrient addition (loamy topsoil)",Economic land use ,Yes,2004,Multiple disturbances accelerate invasion of reed canary grass (Phalaris arundinacea L.) in a mesocosm study/Contribution 1,Multiple disturbances accelerate invasion of reed canary grass (Phalaris arundinacea L.) in a mesocosm study
Multiple disturbances accelerate invasion of reed canary grass (Phalaris arundinacea L.) in a mesocosm study/Contribution 2,Experimental,North America,Biomass of exotic species,Disturbance,Questioned,Enclosure,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,Sediment additions - physical disturbance (fine mason sand),Urbanization,Yes,2004,Multiple disturbances accelerate invasion of reed canary grass (Phalaris arundinacea L.) in a mesocosm study/Contribution 2,Multiple disturbances accelerate invasion of reed canary grass (Phalaris arundinacea L.) in a mesocosm study
Importance of molehill disturbances for invasion by Bunias orientails in meadows and pastures/Contribution 1,Experimental,Europe,Abundance/density of exotic species,Disturbance,Supported,Enclosure,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,Number of molehill disturbances,Soil disturbance,No,2015,Importance of molehill disturbances for invasion by Bunias orientails in meadows and pastures/Contribution 1,Importance of molehill disturbances for invasion by Bunias orientails in meadows and pastures
"Species introductions, diversity and disturbances in marine macrophyte assemblages of the northwestern Mediterranean Sea/Contribution 1",Observational or correlational,Europe,Abundance/density of exotic species,Disturbance,Questioned,Field,Marine,Plants,14,Testing the disturbance hypothesis in invasion biology,"Disturbances include cargo, naval and passenger harbours, and industrial and urban pollution",Urbanization,Yes,2005,"Species introductions, diversity and disturbances in marine macrophyte assemblages of the northwestern Mediterranean Sea/Contribution 1","Species introductions, diversity and disturbances in marine macrophyte assemblages of the northwestern Mediterranean Sea"
Effects of fire and post-fire seeding on plant communities in a ponderosa pine forest/Contribution 1,Observational or correlational,North America,Cover of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,13,Testing the disturbance hypothesis in invasion biology,pre-fire treatments - cutting (treated/untreated) and two levels of fire severity (high/low),Fire,No,2008,Effects of fire and post-fire seeding on plant communities in a ponderosa pine forest/Contribution 1,Effects of fire and post-fire seeding on plant communities in a ponderosa pine forest
Distribution Patterns and Characteristics of Plant Species by Human Impact in Urban Areas/Contribution 1,Observational or correlational,Asia,Occurrence of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,,Testing the disturbance hypothesis in invasion biology,"hemeroby (soil, vegetation disturbance and chemical dist.)",Urbanization,Yes,2008,Distribution Patterns and Characteristics of Plant Species by Human Impact in Urban Areas/Contribution 1,Distribution Patterns and Characteristics of Plant Species by Human Impact in Urban Areas
"Non-native plants in the understory of riparian forests across a land use gradient in the Southeast
/Contribution 1",Observational or correlational,North America,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,29,Testing the disturbance hypothesis in invasion biology,urban-to-rural gradient,Urbanization,Yes,2005,"Non-native plants in the understory of riparian forests across a land use gradient in the Southeast
/Contribution 1","Non-native plants in the understory of riparian forests across a land use gradient in the Southeast
"
Biogenic disturbance determines invasion success in a subtidal soft-sediment system/Contribution 1,Experimental,Oceania,Abundance/density of exotic species,Disturbance,Questioned,Field,Marine,Molluscs and Fishes,1,Testing the disturbance hypothesis in invasion biology,sediment disturbed by Echinocardium ,Soil disturbance,No,2008,Biogenic disturbance determines invasion success in a subtidal soft-sediment system/Contribution 1,Biogenic disturbance determines invasion success in a subtidal soft-sediment system
Establishment and Post-Hurricane Survival of the Non-Native Rio Grande Cichlid (Herichthys cyanoguttatus) in the Greater New Orleans Metropolitan Area/Contribution 1,Observational or correlational,North America,Number of exotic species,Disturbance,Supported,Field,Marine,Fishes,1,Testing the disturbance hypothesis in invasion biology,before and after hurricanes Katrina and Rita,Storm,No,2011,Establishment and Post-Hurricane Survival of the Non-Native Rio Grande Cichlid (Herichthys cyanoguttatus) in the Greater New Orleans Metropolitan Area/Contribution 1,Establishment and Post-Hurricane Survival of the Non-Native Rio Grande Cichlid (Herichthys cyanoguttatus) in the Greater New Orleans Metropolitan Area
Establishment and Post-Hurricane Survival of the Non-Native Rio Grande Cichlid (Herichthys cyanoguttatus) in the Greater New Orleans Metropolitan Area/Contribution 2,Observational or correlational,North America,Number of exotic species,Disturbance,Supported,Field,Marine,Fishes,1,Testing the disturbance hypothesis in invasion biology,"river canal, urban areas",Urbanization,Yes,2011,Establishment and Post-Hurricane Survival of the Non-Native Rio Grande Cichlid (Herichthys cyanoguttatus) in the Greater New Orleans Metropolitan Area/Contribution 2,Establishment and Post-Hurricane Survival of the Non-Native Rio Grande Cichlid (Herichthys cyanoguttatus) in the Greater New Orleans Metropolitan Area
Large Herbivore Grazing and Non-native Plant Invasions in Montane Grasslands of Central Argentina/Contribution 1,Experimental,South America,Number of exotic species,Disturbance,Supported,Enclosure,Terrestrial,Plants,31,Testing the disturbance hypothesis in invasion biology,Size of herbivores (Horse or cattle),Economic land use ,Yes,2010,Large Herbivore Grazing and Non-native Plant Invasions in Montane Grasslands of Central Argentina/Contribution 1,Large Herbivore Grazing and Non-native Plant Invasions in Montane Grasslands of Central Argentina
Old World Climbing Fern (Lygodium microphyllum) Invasion in Hurricane Caused Treefalls/Contribution 1,Observational or correlational,North America,Occurrence of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,non-disturbed and disturbed area size (treefall),Storm,No,2009,Old World Climbing Fern (Lygodium microphyllum) Invasion in Hurricane Caused Treefalls/Contribution 1,Old World Climbing Fern (Lygodium microphyllum) Invasion in Hurricane Caused Treefalls
Are invasive species the drivers or passengers of change in degraded ecosystems?/Contribution 1,Experimental,North America,Cover of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,2,Testing the disturbance hypothesis in invasion biology,reduction (mowing of aboveground biomass) ,Others,Yes,2005,Are invasive species the drivers or passengers of change in degraded ecosystems?/Contribution 1,Are invasive species the drivers or passengers of change in degraded ecosystems?
Big and aerial invaders: dominance of exotic spiders in burned New Zealand tussock grasslands/Contribution 1,Experimental,Oceania,Abundance/density of exotic species,Disturbance,Supported,Enclosure,Terrestrial,Insects,10,Testing the disturbance hypothesis in invasion biology,"spring burn,summer burn and unburned experimental plots - burning is used regularly for management of tussock grasslands",Management methods ,Yes,2014,Big and aerial invaders: dominance of exotic spiders in burned New Zealand tussock grasslands/Contribution 1,Big and aerial invaders: dominance of exotic spiders in burned New Zealand tussock grasslands
Exotic vascular plant invasiveness and forest invasibility in urban boreal forest types/Contribution 1,Observational or correlational,North America,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,16,Testing the disturbance hypothesis in invasion biology," Disturbance intensity was rated on a scale of 1 to 3 from low (no recreation paths), medium (recreation paths), severe human (urban infrastructure and intense o? trail paths)",Urbanization,Yes,2006,Exotic vascular plant invasiveness and forest invasibility in urban boreal forest types/Contribution 1,Exotic vascular plant invasiveness and forest invasibility in urban boreal forest types
Competitive interactions between native and invasive exotic plant species are altered under elevated carbon dioxide/Contribution 1,Experimental,Oceania,Growth/emergence of exotic individuals,Disturbance,Questioned,Enclosure,Terrestrial,Plants,14,Testing the disturbance hypothesis in invasion biology,CO2 concentration (ambient or elevated CO2 conditions),Global warming ,No,2011,Competitive interactions between native and invasive exotic plant species are altered under elevated carbon dioxide/Contribution 1,Competitive interactions between native and invasive exotic plant species are altered under elevated carbon dioxide
Scaling Disturbance Instead of Richness to Better Understand Anthropogenic Impacts on Biodiversity/Contribution 1,Observational or correlational,North America,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,75,Testing the disturbance hypothesis in invasion biology,"Human disturbance extent was defined as proportion of land area converted by humans, and was assessed by manual interpretation of 1:30 000 aerial photos  (Only the spatial extent of human disturbance was measured)",Others,Yes,2015,Scaling Disturbance Instead of Richness to Better Understand Anthropogenic Impacts on Biodiversity/Contribution 1,Scaling Disturbance Instead of Richness to Better Understand Anthropogenic Impacts on Biodiversity
Regional boreal biodiversity peaks at intermediate human disturbance/Contribution 1,Observational or correlational,North America,Number of exotic species,Disturbance,Supported ,Field,Terrestrial,Plants,237,Testing the disturbance hypothesis in invasion biology," areanof land altered by human land use - gradient (0–100%) -> spatial extent of disturbance (Anthropogenic disturbances included agricultural pasture and croplands, linear features (e.g.including pipelines, powerlines, roads), industrial/commercial disturbances and urban/rural settlements",Others,Yes,2012,Regional boreal biodiversity peaks at intermediate human disturbance/Contribution 1,Regional boreal biodiversity peaks at intermediate human disturbance
Limits to tree species invasion in pampean grassland and forest plant communities/Contribution 1,Experimental,South America,Growth/emergence of exotic individuals,Disturbance,Undecided,Field,Terrestrial,Plants,2,Testing the disturbance hypothesis in invasion biology,"vegetation removed to 3 cm height (clipped), roots severly disturbed with a spade, soil raked to 10 cm depth",Economic land use,Yes,2001,Limits to tree species invasion in pampean grassland and forest plant communities/Contribution 1,Limits to tree species invasion in pampean grassland and forest plant communities
"Predicting Richness of Native, Rare, and Exotic Plants in Response to Habitat and Disturbance Variables across a Variegated Landscape/Contribution 1",Observational or correlational,Oceania,Number of exotic species ,Disturbance,Questioned,Field,Terrestrial,Plants,,Testing the disturbance hypothesis in invasion biology,grazing by sheep and cattle,Economic land use,Yes,1994,"Predicting Richness of Native, Rare, and Exotic Plants in Response to Habitat and Disturbance Variables across a Variegated Landscape/Contribution 1","Predicting Richness of Native, Rare, and Exotic Plants in Response to Habitat and Disturbance Variables across a Variegated Landscape"
"Predicting Richness of Native, Rare, and Exotic Plants in Response to Habitat and Disturbance Variables across a Variegated Landscape/Contribution 2",Observational or correlational,Oceania,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,,Testing the disturbance hypothesis in invasion biology,soil disturbance - machinery and vehicle use,Others,Yes,1994,"Predicting Richness of Native, Rare, and Exotic Plants in Response to Habitat and Disturbance Variables across a Variegated Landscape/Contribution 2","Predicting Richness of Native, Rare, and Exotic Plants in Response to Habitat and Disturbance Variables across a Variegated Landscape"
Disturbance-mediated competition and the spread of Phragmites australis in a coastal marsh/Contribution 1,Experimental,North America,Biomass of exotic species,Disturbance,Supported,Lab,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,adding three levels of nutrients (specifically nitrogen) + removing (by cutting) or not removing neighboring matrix vegetation ,Economic land use,Yes,2003,Disturbance-mediated competition and the spread of Phragmites australis in a coastal marsh/Contribution 1,Disturbance-mediated competition and the spread of Phragmites australis in a coastal marsh
"Recovery of native plant communities after the control of a dominant invasive plant species, Foeniculum vulgare: Implications for management/Contribution 1",Experimental,North America,Cover of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,prescribed burns and aerial herbicide applications ,Management methods,Yes,2005,"Recovery of native plant communities after the control of a dominant invasive plant species, Foeniculum vulgare: Implications for management/Contribution 1","Recovery of native plant communities after the control of a dominant invasive plant species, Foeniculum vulgare: Implications for management"
